Gene	Expt	x	y	neighbour	neighbour_array	neighbour_prob
Neurod6	33	24911.7214776818	7888.5249905378	1	[1]	[1.0]
Th	67	25006.7214776818	7888.5249905378	1	[1]	[1.0]
Hapln1	24	25176.7214776818	7888.5249905378	1	[1]	[1.0]
Synpr	64	25562.6630169508	7888.496754204	1	[1]	[1.0]
Tac2	66	25768.6630169508	7888.496754204	1	[1]	[1.0]
Pde1a	42	24192.7214776818	7887.5249905378	1	[1]	[1.0]
Cxcl14	18	24228.7214776818	7887.5249905378	1	[1]	[1.0]
Cxcl14	18	24326.7214776818	7887.5249905378	1	[1]	[1.0]
Kit	29	24422.7214776818	7887.5249905378	1	[1]	[1.0]
Synpr	64	24585.7214776818	7887.5249905378	1	[1]	[1.0]